rank,ASN-ASname,category
1,2914-NTT America Inc.,XX
2,17676-Softbank BB Corp.,JP
3,2516-KDDI CORPORATION,JP
4,2497-Internet Initiative Ja,JP
5,6939-Hurricane Electric In,US
6,2907-Research Organization ,JP
7,4725-SoftBank Mobile Corp.,JP
9,1299-Telia Company AB,XX
10,4637-Telstra Global - Custo,XX
11,3356-Level 3 Communications,US
12,2519-ARTERIA Networks Corpo,JP
13,10026-Pacnet MY,XX
14,4713-NTT Communications Cor,JP
15,27066-DoD Network Informatio,US
16,174-Cogent Communications,US
17,6453-TATA COMMUNICATIONS (A,XX
18,721-DoD Network Informatio,US
19,209-Qwest Communications C,US
20,2687-AT&T Global Network Se,XX
