rank,ASN-ASname,category
1,3549-Level 3 Communications,US
2,3356-Level 3 Communications,US
3,16735-ALGAR TELECOM S/A,BR
4,12956-Telefonica Internation,XX
5,7738-Telemar Norte Leste S.,BR
6,10429-Telefonica Data S.A.,BR
7,6939-Hurricane Electric In,US
8,8167-Brasil Telecom S/A - F,BR
9,4230-CLARO S.A.,BR
10,6762-TELECOM ITALIA SPARKLE,XX
11,18881-TELEFÃNICA BRASIL S.A,BR
12,262589-INTERNEXA Brasil Opera,BR
13,23106-Cemig TelecomunicaÃ§Ãµes SA,BR
14,174-Cogent Communications,XX
15,2914-NTT America Inc.,XX
16,28329-G8 NETWORKS LTDA,BR
17,26615-Tim Celular S.A.,BR
18,53237-TELECOMUNICACOES BRASI,BR
19,12989-StackPath LLC,BR
20,25933-Vogel SoluÃ§Ãµes em Telecom e In,BR
21,52320-GlobeNet Cabos Submari,BR
22,14840-COMMCORP COMUNICACOES ,BR
23,28598-Mob Servicos de Teleco,BR
24,53062-G G NET - Telecomunica,BR
25,1299-Telia Company AB,XX
26,61832-Fortel Fortaleza Telec,BR
27,263444-Open X Tecnologia Ltda,BR
28,52965-1TELECOM SERVICOS DE T,BR
29,28146-MHNET TELECOM,BR
30,28368-SOBRALNET SERVICOS E T,BR
31,53013-WIX NET DO BRASIL LTDA,BR
32,28283-Adylnet Telecom,BR
33,286-KPN B.V.,XX
34,28343-TPA TELECOMUNICACOES L,BR
35,14868-COPEL TelecomunicaÃ§Ãµes S.A.,BR
36,61568-FSF TECNOLOGIA LTDA ME,BR
37,28260-ALTA REDE CORPORATE NE,BR
38,28250-TELBRAX LTDA,BR
39,16397-EQUINIX BRASIL SP,BR
40,4809-China Telecom Next Gen,XX
41,28186-ITS TELECOMUNICAÃÃES LTDA,BR
42,262907-AVATO TECNOLOGIA,BR
43,3491-PCCW Global Inc.,XX
44,262760-76 TELECOMUNICAÃÃO LTDA,BR
45,1916-AssociaÃ§Ã£o Rede Nacional de En,BR
46,6453-TATA COMMUNICATIONS (A,XX
47,28226-Vogel SoluÃ§Ãµes em Telecom e In,BR
48,53087-TELY Ltda.,BR
49,28306-Britis Telecom LTDA,BR
50,263097-BRAVA TELECOMUNICAÃÃES BRASILI,BR
51,28263-Ensite Brasil Telecomu,BR
52,3257-GTT Communications Inc,XX
53,61889-BRASIL DIGITAL TELECOM,BR
54,28642-Contato Internet EIREL,BR
55,262476-PROVEDOR BRCENTRAL.NET,BR
56,263124-ZAP TELECOMUNICAÃÃES,BR
57,263903-INFORBARRA TELECOM,BR
58,52579-Noroestecom Telecomuni,BR
59,28158-Ampernet TelecomunicaÃ§Ãµes Ltda,BR
60,262761-Sinal Br Telecom Ltda,BR
61,28303-None,BR
62,52554-S. A. da Silva Junior,BR
63,53181-K2 Telecom e Multimidi,BR
64,52551-SAMM Sociedade de Ativ,BR
65,264144-ASAP GLOBAL TELECOM,BR
66,22356-Durand do Brasil Ltda,BR
67,53242-NOGUEIRA & DANTAS LTDA,BR
68,11835-IPE INFORMATICA LTDA,BR
69,262740-VELOO NET LTDA,BR
70,26592-EQUINIX BRASIL RJ,BR
71,28210-VM OPENLINK COMUNICAÃÃO MULTIM,BR
72,21574-Century Telecom Ltda,BR
73,52871-TASCOM TELECOMUNICAÃÃES LTDA,BR
74,52873-SOFTDADOS CONECTIVIDAD,BR
75,14282-PERSIS TELECOM,BR
76,52720-WEBFOCO TELECOMUNICACO,BR
77,52925-Ascenty Data Centers e,BR
78,52872-VOANET TelecomunicaÃ§Ãµes Ltda.,BR
79,264409-YAX ADMINISTRACAO E TE,BR
80,262847-Hoinaski & Sklasky Ltd,BR
81,263047-Speednet Provedor de A,BR
82,262468-Natel Telecom Ltda. - ,BR
83,263009-FORTE TELECOM LTDA.,BR
84,262733-Netcetera Telecomunica,BR
85,61678-NETWAY INFORMATICA LTD,BR
86,264415-MAXIS TELECOMUNICAÃÃES LTDA - ,BR
87,265890-GR SOLUCOES TELECOM LT,BR
88,262354-Ligue TelecomunicaÃ§Ãµes Ltda,BR
89,263405-GIGANET SERVICOS DE IN,BR
90,1239-Sprint,US
91,28649-Desktop Sigmanet Comun,BR
