rank,ASN-ASname,category
1,3356-Level 3 Communications,US
2,174-Cogent Communications,XX
3,6939-Hurricane Electric In,US
4,7018-AT&T Services Inc.,US
5,209-Qwest Communications C,US
6,6461-Zayo Bandwidth,US
7,3549-Level 3 Communications,US
8,701-MCI Communications Ser,US
9,3257-GTT Communications Inc,XX
10,1299-Telia Company AB,XX
11,2914-NTT America Inc.,XX
12,46887-Lightower Fiber Networ,US
13,2828-MCI Communications Ser,US
14,22773-Cox Communications Inc,US
15,6128-Cablevision Systems Co,US
16,20115-Charter Communications,US
17,7029-Windstream Communicati,US
18,7922-Comcast Cable Communic,US
19,7843-Time Warner Cable Inte,US
20,1239-Sprint,US
21,27064-DoD Network Informatio,US
22,10796-Time Warner Cable Inte,US
23,6453-TATA COMMUNICATIONS (A,XX
24,33491-Comcast Cable Communic,US
25,721-DoD Network Informatio,US
26,32787-Akamai Technologies I,XX
27,16657-Fibertech Networks LL,US
28,5650-Frontier Communication,US
29,3561-Savvis,US
30,11427-Time Warner Cable Inte,US
31,7385-Integra Telecom Inc.,US
32,7015-Comcast Cable Communic,US
33,11404-vanoppen.biz LLC,US
34,3491-PCCW Global Inc.,XX
35,33132-Fibernet Direct,US
36,26554-US Signal Company L.L,US
37,23005-SWITCH LTD,US
38,20001-Time Warner Cable Inte,US
39,13789-Internap Network Servi,US
40,2152-California State Unive,US
41,13649-ViaWest,US
42,13536-Tech Valley Communicat,US
43,2711-Spirit Communications,US
44,62-CyrusOne LLC,US
45,7016-Comcast Cable Communic,US
46,33651-Comcast Cable Communic,US
47,33657-Comcast Cable Communic,US
48,33659-Comcast Cable Communic,US
49,12083-WideOpenWest Finance L,US
50,19271-Peak 10,US
51,6079-RCN,US
52,22561-CenturyTel Internet Ho,US
53,2381-WiscNet,US
54,11426-Time Warner Cable Inte,US
55,20473-Choopa LLC,XX
56,6181-Cincinnati Bell Teleph,US
57,11351-Time Warner Cable Inte,US
58,55002-Duplicate of ARIN AS55,XX
59,14265-TPx Communications,US
60,7342-VeriSign Infrastructur,US
61,19108-Suddenlink Communicati,US
62,11537-Internet2,US
63,367-DoD Network Informatio,US
64,22925-Allied Telecom Group ,US
65,33363-BRIGHT HOUSE NETWORKS,US
66,11164-Internet2,US
67,11096-FloridaNet,US
68,293-ESnet,US
69,33667-Comcast Cable Communic,US
70,15164-Unite Private Networks,US
71,33287-Comcast Cable Communic,US
72,15305-Syringa Networks LLC,US
73,7795-LUMOS Networks Inc.,US
74,10912-Internap Network Servi,US
75,27065-DoD Network Informatio,US
76,12182-Internap Network Servi,US
77,10310-Yahoo!,US
78,29838-Atlantic Metro Communi,US
79,12129-123.Net Inc.,US
80,13876-FiberLight LLC,US
81,5056-Aureon Network Service,US
82,33660-Comcast Cable Communic,US
83,13977-FAIRPOINT COMMUNICATIO,US
84,600-OARnet,US
85,19551-Incapsula Inc,XX
86,10913-Internap Network Servi,US
87,19151-WV FIBER,US
88,13760-Southern Light LLC,US
89,7725-Comcast Cable Communic,US
90,1541-Headquarters USAISC,US
91,33668-Comcast Cable Communic,US
92,9498-BHARTI Airtel Ltd.,IN
93,25899-LS Networks,US
94,27552-TowardEX Technologies ,US
95,13576-SOUTH DAKOTA NETWORK,US
96,17054-CONTINENTAL BROADBAND ,US
97,17378-TIERPOINT PENNSYLVANIA,US
98,7381-SunGard Availability S,US
99,4637-Telstra Global - Custo,XX
100,11232-Midcontinent Communica,US
