
1561537221.32; 2019-06-26 01:20:21.320754;  sdv-il--128.139.197.127--AS378; 41.222.202.69--41.222.202.0/24--AS37593; 116792
src=128.139.197.127 dst=41.222.202.69
1 128.139.179.1 (gp1-iucc.iucc.ac.il) 0.876ms    AS378 128.139.0.0/16
2 83.97.88.93 (iucc-ias-geant-gw.lon.uk.geant.net) 57.069ms    AS21320 83.97.88.0/21
3 62.40.98.128 () 71.647ms    AS21320 62.40.96.0/19
4 62.40.98.187 () 72.166ms    AS21320 62.40.96.0/19
5 80.239.135.136 (ffm-b12-link.telia.net) 71.088ms    AS1299 80.239.128.0/19
6 62.115.142.4 (ffm-bb4-link.telia.net) 103.856ms    AS1299 62.115.0.0/16
7 62.115.122.138 (prs-bb4-link.telia.net) 86.334ms    AS1299 62.115.0.0/16
8 80.91.248.131 (mad-b2-link.telia.net) 104.041ms    AS1299 80.91.248.0/21
9 213.248.83.159 (angolacables-ic-323402-mad-b2.c.telia.net) 97.925ms    AS1299 213.248.64.0/18
10 185.148.112.33 (pe1-nce015.pt.lis.as37468.angolacables.ao) 98.184ms    AS37468 185.148.112.32/30
11 185.148.112.13 (pe1-nce012.ang.sgn.as37468.angolacables.ao) 198.276ms    AS37468 185.148.112.12/30
12 197.149.149.145 (pe1-nc013.ang.lua.as37468.angolacables.ao) 199.782ms    AS37468 197.149.149.144/30
13 197.149.151.2 (pe2-ne021.ang.lua.as37468.angolacables.ao) 200.179ms    AS37468 197.149.151.2/32
14 197.149.149.170 () 199.029ms    AS37468 197.149.148.0/22

1561537231.18; 2019-06-26 01:20:31.180736;  sin2-sg--202.6.102.35--AS45494; 155.89.227.160--155.89.0.0/16--AS37081; 116793

1561537234.53; 2019-06-26 01:20:34.528697;  hkg-cn--213.254.227.26--AS3257; 196.43.197.174--196.43.197.0/24--AS37267; 116794
src=213.254.227.26 dst=196.43.197.174
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.268ms    AS8928 213.254.227.0/24
2 89.149.137.201 (xe-9-1-5.cr1-lon1.ip4.gtt.net) 182.397ms    AS3257 89.149.128.0/18
3 46.33.78.58 (ip4.gtt.net) 180.158ms    AS3257 46.33.64.0/19
4 185.148.112.102 (pe2-nce025.pt.lis.as37468.angolacables.ao) 206.506ms    AS37468 185.148.112.100/30
5 185.148.112.21 (pe2-nc022.ang.sgn.as37468.angolacables.ao) 306.134ms    AS37468 185.148.112.20/30
6 197.149.149.149 (pe2-nc023.ang.lua.as37468.angolacables.ao) 318.508ms    AS37468 197.149.149.148/30
7 197.149.151.3 (pe1-ne011.ang.lua.as37468.angolacables.ao) 309.271ms    AS37468 197.149.151.3/32
