
1561530716.63; 2019-06-25 23:31:56.628800;  ktm-np--202.52.0.24--AS45170; 186.250.194.23--186.250.194.0/23--AS28162; 115634
src=202.52.0.24 dst=186.250.194.23
1 202.52.0.1 (gw-noc.nren.net.np) 0.695ms    AS45170 202.52.0.0/23
2 202.79.41.209 (ge-209.41.gw-sgd-02.wlink.com.np) 0.722ms    AS17501 202.79.32.0/20
3 103.225.212.177 () 0.746ms    AS133372 103.225.212.0/22
4 125.21.2.53 () 2.846ms    AS9498 125.21.2.0/24
5 182.79.149.99 () 194.291ms    ASNone None
6 195.66.226.95 () 180.979ms    AS7713 195.66.224.0/22
7 170.238.232.55 () 287.833ms    AS37468 170.238.232.54/31
8 170.238.232.18 (pe1-nce011.br.spa.as37468.angolacables.ao) 409.637ms    AS37468 170.238.232.16/30
9 170.238.234.25 () 389.25ms    AS37468 170.238.232.0/22
10 200.220.128.46 (100g.200.220.128.46.nipcable.com) 385.707ms    AS27693 200.220.128.0/21
11 200.220.143.26 (as28162-l1.26.nipbr.com.br) 403.091ms    AS27693 200.220.136.0/21
12 186.250.192.10 (186-250-192-10.ibl.com.br) 387.926ms    AS28162 186.250.192.0/23
13 10.242.1.2 () 387.575ms    ASNone None
14 10.242.1.2 () 3385.129ms    ASNone None

1561530725.72; 2019-06-25 23:32:05.716941;  sdv-il--128.139.197.127--AS378; 186.250.198.133--186.250.198.0/23--AS28162; 115635
src=128.139.197.127 dst=186.250.198.133
1 128.139.179.1 (gp1-iucc.iucc.ac.il) 1.634ms    AS378 128.139.0.0/16
2 83.97.88.93 (iucc-ias-geant-gw.lon.uk.geant.net) 57.07ms    AS21320 83.97.88.0/21
3 62.40.98.128 () 71.496ms    AS21320 62.40.96.0/19
4 62.40.98.187 () 71.656ms    AS21320 62.40.96.0/19
5 80.239.135.136 (ffm-b12-link.telia.net) 71.108ms    AS1299 80.239.128.0/19
6 62.115.142.4 (ffm-bb4-link.telia.net) 183.015ms    AS1299 62.115.0.0/16
7 62.115.114.98 () 183.132ms    AS1299 62.115.0.0/16
8 62.115.122.159 (ash-bb3-link.telia.net) 158.363ms    AS1299 62.115.0.0/16
9 62.115.119.195 (boca-b1-link.telia.net) 187.489ms    AS1299 62.115.0.0/16
10 62.115.162.37 (angolacables-ic-335057-boca-b1.c.telia.net) 174.456ms    AS1299 62.115.0.0/16
11 170.238.232.22 (pe1-nce012.br.spa.as37468.angolacables.ao) 278.027ms    AS37468 170.238.232.20/30
12 170.238.234.25 () 278.012ms    AS37468 170.238.232.0/22
13 200.220.128.46 (100g.200.220.128.46.nipcable.com) 290.177ms    AS27693 200.220.128.0/21
14 200.220.143.26 (as28162-l1.26.nipbr.com.br) 281.415ms    AS27693 200.220.136.0/21
15 186.250.192.10 (186-250-192-10.ibl.com.br) 278.267ms    AS28162 186.250.192.0/23

1561530729.08; 2019-06-25 23:32:09.077035;  dac-bd--119.40.82.245--AS24122; 191.241.130.249--191.241.130.0/24--AS263671; 115636
src=119.40.82.245 dst=191.241.130.249
1 119.40.82.129 () 0.479ms    AS24122 119.40.82.0/24
2 10.10.2.17 () 0.627ms    ASNone None
3 10.10.1.13 () 22.464ms    ASNone None
4 10.10.1.66 () 8.312ms    ASNone None
5 103.7.248.61 () 4.541ms    AS10075 103.7.248.0/22
6 163.47.159.158 () 1.305ms    AS10075 163.47.159.0/24
7 163.47.83.5 () 6.376ms    AS132602 163.47.80.0/22
8 213.144.170.32 () 176.668ms    AS6762 213.144.160.0/19
9 5.178.43.204 () 355.187ms    AS6762 5.178.40.0/21
10 5.178.43.159 () 351.826ms    AS6762 5.178.40.0/21
11 190.15.104.250 () 390.337ms    AS61568 190.15.104.0/23
12 100.100.158.18 () 386.617ms    ASNone None
13 191.241.130.249 (dynamic-191-241-130-249.minasinfo.net.br) 387.112ms    AS263671 191.241.130.0/24

1561530732.43; 2019-06-25 23:32:12.428883;  sdv-il--128.139.197.127--AS378; 187.111.75.20--187.111.64.0/20--AS262712; 115637
src=128.139.197.127 dst=187.111.75.20
1 128.139.179.1 (gp1-iucc.iucc.ac.il) 1.772ms    AS378 128.139.0.0/16
2 83.97.88.93 (iucc-ias-geant-gw.lon.uk.geant.net) 57.054ms    AS21320 83.97.88.0/21
3 62.40.98.128 () 72.025ms    AS21320 62.40.96.0/19
4 62.40.98.187 () 71.709ms    AS21320 62.40.96.0/19
5 80.239.135.136 (ffm-b12-link.telia.net) 71.1ms    AS1299 80.239.128.0/19
6 62.115.142.4 (ffm-bb4-link.telia.net) 183.04ms    AS1299 62.115.0.0/16
7 62.115.122.138 (prs-bb4-link.telia.net) 206.893ms    AS1299 62.115.0.0/16
8 62.115.122.159 (ash-bb3-link.telia.net) 158.38ms    AS1299 62.115.0.0/16
9 62.115.119.195 (boca-b1-link.telia.net) 187.5ms    AS1299 62.115.0.0/16
10 62.115.162.37 (angolacables-ic-335057-boca-b1.c.telia.net) 174.433ms    AS1299 62.115.0.0/16
11 170.238.232.10 () 175.103ms    AS37468 170.238.232.8/30
12 170.238.232.34 (pe2-nc021.br.ftz.as37468.angolacables.ao) 237.876ms    AS37468 170.238.232.32/30
13 170.238.233.42 () 234.237ms    AS37468 170.238.233.40/30
14 170.238.235.6 () 218.709ms    AS37468 170.238.232.0/22
15 187.111.64.138 () 250.486ms    AS262712 187.111.64.0/20
16 187.111.64.137 (r7204.hostweb.com.br) 218.815ms    AS262712 187.111.64.0/20
17 187.111.64.138 () 250.613ms    AS262712 187.111.64.0/20

1561530735.82; 2019-06-25 23:32:15.824766;  sdv-il--128.139.197.127--AS378; 186.250.196.121--186.250.196.0/23--AS28162; 115638
src=128.139.197.127 dst=186.250.196.121
1 128.139.179.1 (gp1-iucc.iucc.ac.il) 0.893ms    AS378 128.139.0.0/16
2 83.97.88.93 (iucc-ias-geant-gw.lon.uk.geant.net) 57.055ms    AS21320 83.97.88.0/21
3 62.40.98.128 () 72.016ms    AS21320 62.40.96.0/19
4 62.40.98.187 () 71.619ms    AS21320 62.40.96.0/19
5 80.239.135.136 (ffm-b12-link.telia.net) 71.107ms    AS1299 80.239.128.0/19
6 62.115.142.4 (ffm-bb4-link.telia.net) 183.123ms    AS1299 62.115.0.0/16
