1561520505.39; 2019-06-25 20:41:45.392894;  jnb-za--196.10.53.6--AS37474; 104.255.217.92--104.255.217.0/24--AS36121; 113794
1561520515.9; 2019-06-25 20:41:55.897030;  dar2-tz--105.16.136.4--AS37100; 191.37.96.102--191.37.96.0/23--AS263357; 113795
1561520519.24; 2019-06-25 20:41:59.237399;  dar2-tz--105.16.136.4--AS37100; 191.37.107.77--191.37.104.0/21--AS263357; 113796
1561520522.92; 2019-06-25 20:42:02.917704;  dar2-tz--105.16.136.4--AS37100; 191.37.123.226--191.37.120.0/21--AS263357; 113797
1561520526.12; 2019-06-25 20:42:06.124799;  dur-za--105.23.224.90--AS37100; 186.208.245.41--186.208.245.0/24--AS262887; 0
1561521336.32; 2019-06-25 20:55:36.324698;  jnb-za--196.10.53.6--AS37474; 104.255.217.92--104.255.217.0/24--AS36121; 113897
1561521339.7; 2019-06-25 20:55:39.700744;  dar2-tz--105.16.136.4--AS37100; 191.37.96.102--191.37.96.0/23--AS263357; 113898
1561521343.03; 2019-06-25 20:55:43.032536;  dar2-tz--105.16.136.4--AS37100; 191.37.107.77--191.37.104.0/21--AS263357; 113899
1561521350.77; 2019-06-25 20:55:50.772715;  dar2-tz--105.16.136.4--AS37100; 191.37.123.226--191.37.120.0/21--AS263357; 113900
1561521353.97; 2019-06-25 20:55:53.968638;  dur-za--105.23.224.90--AS37100; 186.208.245.41--186.208.245.0/24--AS262887; 0
1561610563.59; 2019-06-26 21:42:43.592919;  jnb-za--196.10.53.6--AS37474; 104.255.217.92--104.255.217.0/24--AS36121; 129643
1561610574.11; 2019-06-26 21:42:54.105038;  dar2-tz--105.16.136.4--AS37100; 191.37.96.102--191.37.96.0/23--AS263357; 129644
1561610577.48; 2019-06-26 21:42:57.477050;  dar2-tz--105.16.136.4--AS37100; 191.37.107.77--191.37.104.0/21--AS263357; 129645
1561610580.81; 2019-06-26 21:43:00.805115;  dar2-tz--105.16.136.4--AS37100; 191.37.123.226--191.37.120.0/21--AS263357; 129646
1561610584.02; 2019-06-26 21:43:04.024949;  dur-za--105.23.224.90--AS37100; 186.208.245.41--186.208.245.0/24--AS262887; 0
1561698453.62; 2019-06-27 22:07:33.624809;  jnb-za--196.10.53.6--AS37474; 104.255.217.92--104.255.217.0/24--AS36121; 145449
1561698456.98; 2019-06-27 22:07:36.984757;  dar2-tz--105.16.136.4--AS37100; 191.37.96.102--191.37.96.0/23--AS263357; 145450
1561698460.33; 2019-06-27 22:07:40.329332;  dar2-tz--105.16.136.4--AS37100; 191.37.107.77--191.37.104.0/21--AS263357; 145451
1561698469.16; 2019-06-27 22:07:49.156751;  dar2-tz--105.16.136.4--AS37100; 191.37.123.226--191.37.120.0/21--AS263357; 145452
1561698472.37; 2019-06-27 22:07:52.368627;  dur-za--105.23.224.90--AS37100; 186.208.245.41--186.208.245.0/24--AS262887; 0
